District,Mandal,Date,Min Temp (°C),Max Temp (°C)
Adilabad,Ichoda,09-Jul-22,23.7,27.1
Adilabad,Ichoda,10-Jul-22,22.7,26.5
Adilabad,Ichoda,11-Jul-22,22.8,26.0
Adilabad,Ichoda,12-Jul-22,22.3,26.1
Adilabad,Ichoda,13-Jul-22,21.8,25.3
Adilabad,Ichoda,14-Jul-22,21.5,26.0
Adilabad,Ichoda,15-Jul-22,23.3,27.1
Adilabad,Ichoda,16-Jul-22,23.8,30.9
Adilabad,Ichoda,17-Jul-22,24.4,32.5
Adilabad,Ichoda,18-Jul-22,23.6,27.9
Adilabad,Ichoda,19-Jul-22,23.7,27.6
Adilabad,Ichoda,20-Jul-22,23.8,31.2
Adilabad,Ichoda,21-Jul-22,23.6,31.1
Adilabad,Ichoda,22-Jul-22,25.3,29.4
Adilabad,Ichoda,23-Jul-22,23.9,29.7
Adilabad,Ichoda,24-Jul-22,23.3,27.0
Adilabad,Ichoda,25-Jul-22,24.0,27.4
Adilabad,Ichoda,26-Jul-22,24.1,31.2
Adilabad,Ichoda,27-Jul-22,23.3,27.3
Adilabad,Ichoda,28-Jul-22,24.5,32.7
Adilabad,Ichoda,29-Jul-22,24.0,32.5
Adilabad,Ichoda,30-Jul-22,24.7,32.0
Adilabad,Ichoda,31-Jul-22,24.1,32.6
Adilabad,Inderavelly,01-Jul-22,23.5,34.6
Adilabad,Inderavelly,02-Jul-22,25.2,33.1
Adilabad,Inderavelly,03-Jul-22,23.4,32.8
Adilabad,Inderavelly,04-Jul-22,22.9,30.9
Adilabad,Inderavelly,05-Jul-22,23.2,28.0
Adilabad,Inderavelly,06-Jul-22,23.5,29.6
Adilabad,Inderavelly,07-Jul-22,23.2,30.7
Adilabad,Inderavelly,08-Jul-22,23.6,31.7
Adilabad,Inderavelly,09-Jul-22,22.4,27.8
Adilabad,Inderavelly,10-Jul-22,22.6,27.4
Adilabad,Inderavelly,11-Jul-22,22.8,27.3
Adilabad,Inderavelly,12-Jul-22,22.5,27.2
Adilabad,Inderavelly,13-Jul-22,22.0,23.8
Adilabad,Inderavelly,14-Jul-22,21.5,23.9
Adilabad,Inderavelly,15-Jul-22,22.8,27.7
Adilabad,Inderavelly,16-Jul-22,23.8,30.9
Adilabad,Inderavelly,17-Jul-22,25.6,32.3
Adilabad,Inderavelly,18-Jul-22,23.5,27.7
Adilabad,Inderavelly,19-Jul-22,23.7,28.2
Adilabad,Inderavelly,20-Jul-22,24.0,32.8
Adilabad,Inderavelly,21-Jul-22,23.6,30.2
Adilabad,Inderavelly,22-Jul-22,24.9,30.2
Adilabad,Inderavelly,23-Jul-22,22.8,30.4
Adilabad,Inderavelly,24-Jul-22,23.0,27.7
Adilabad,Inderavelly,25-Jul-22,23.0,28.0
Adilabad,Inderavelly,26-Jul-22,23.0,30.3
Adilabad,Inderavelly,27-Jul-22,23.3,27.7
Adilabad,Inderavelly,28-Jul-22,24.8,33.0
Adilabad,Inderavelly,29-Jul-22,24.9,32.4
Adilabad,Inderavelly,30-Jul-22,24.8,32.5
Adilabad,Inderavelly,31-Jul-22,24.7,32.6
Adilabad,Jainad,01-Jul-22,25.2,37.1
Adilabad,Jainad,02-Jul-22,26.7,35.1
Adilabad,Jainad,03-Jul-22,25.9,35.9
Adilabad,Jainad,04-Jul-22,24.8,33.0
Adilabad,Jainad,05-Jul-22,25.4,30.3
Adilabad,Jainad,06-Jul-22,25.5,32.3
Adilabad,Jainad,07-Jul-22,25.3,32.7
Adilabad,Jainad,08-Jul-22,25.2,33.3
Adilabad,Jainad,09-Jul-22,25.5,29.3
Adilabad,Jainad,10-Jul-22,24.4,27.7
Adilabad,Jainad,11-Jul-22,23.8,29.6
Adilabad,Jainad,12-Jul-22,24.1,28.0
Adilabad,Jainad,13-Jul-22,24.1,27.5
Adilabad,Jainad,14-Jul-22,23.5,27.9
Adilabad,Jainad,15-Jul-22,24.0,28.1
Adilabad,Jainad,16-Jul-22,25.3,32.7
Adilabad,Jainad,17-Jul-22,26.0,34.9
Adilabad,Jainad,18-Jul-22,24.8,29.7
Adilabad,Jainad,19-Jul-22,25.0,29.9
Adilabad,Jainad,20-Jul-22,26.2,32.9
Adilabad,Jainad,21-Jul-22,25.6,31.9
Adilabad,Jainad,22-Jul-22,25.3,30.7
Adilabad,Jainad,23-Jul-22,24.5,32.2
Adilabad,Jainad,24-Jul-22,24.9,27.9
Adilabad,Jainad,25-Jul-22,24.5,29.4
Adilabad,Jainad,26-Jul-22,24.7,31.3
Adilabad,Jainad,27-Jul-22,24.2,28.7
Adilabad,Jainad,28-Jul-22,25.1,33.0
Adilabad,Jainad,29-Jul-22,25.3,34.2
Adilabad,Jainad,30-Jul-22,25.5,32.9
Adilabad,Jainad,31-Jul-22,25.3,33.0
Adilabad,Mavala,01-Jul-22,24.0,35.1
Adilabad,Mavala,02-Jul-22,26.0,34.0
Adilabad,Mavala,03-Jul-22,24.5,33.2
Adilabad,Mavala,04-Jul-22,23.5,33.0
Adilabad,Mavala,05-Jul-22,24.2,29.8
Adilabad,Mavala,06-Jul-22,24.3,31.0
Adilabad,Mavala,07-Jul-22,23.9,31.0
Adilabad,Mavala,08-Jul-22,23.9,31.4
Adilabad,Mavala,09-Jul-22,23.8,26.8
Adilabad,Mavala,10-Jul-22,23.2,26.0
Adilabad,Mavala,11-Jul-22,23.0,26.6
Adilabad,Mavala,12-Jul-22,22.9,25.8
Adilabad,Mavala,13-Jul-22,22.9,24.3
